Self Sourcing Component Lists,,,,,
,,,,,
MSX Memory Module,,Notes,Digikey,Mouser,Other
MSX Cassette + USB Module,,,,,
3,0.1uF,,https://www.digikey.com.au/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5UL2/2820511,https://au.mouser.com/ProductDetail/594-K104K15X7RF5UL2,
2,22nF,,https://www.digikey.com.au/en/products/detail/vishay-beyschlag-draloric-bc-components/K223K15X7RF5TL2/286534,https://au.mouser.com/ProductDetail/594-K223K15X7RF5TL2,
1,1uF,,https://www.digikey.com.au/en/products/detail/860020672005/732-8851-1-ND/5728796?itemSeq=388789302,https://au.mouser.com/ProductDetail/710-860020672005,
1,10uF,,https://www.digikey.com.au/en/products/detail/w%C3%BCrth-elektronik/860010372001/5726842,https://au.mouser.com/ProductDetail/710-860020372001,
1,220uF,,https://www.digikey.com.au/en/products/detail/kemet/ESE227M6R3AC3AA/18171366,https://au.mouser.com/ProductDetail/80-ESE227M6R3AC3AA,
2,1N4148,,https://www.digikey.com.au/en/products/detail/onsemi/1N4148TA/965850,https://au.mouser.com/ProductDetail/512-1N4148TA,
3,5mm LED,,,,
2,3.5 AUDIO SOCKET,,https://www.digikey.com.au/product-detail/en/SJ1-3523N/CP1-3523N-ND/738689,,
2,10K Ω,,https://www.digikey.com.au/en/products/detail/yageo/MFR-25FRF52-10K/14626,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-10K,
2,1M Ω,,https://www.digikey.com.au/en/products/detail/yageo/MFR-25FTE52-1M/9139874,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-1M,
1,169K Ω,,,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-169K,
6,4K7 Ω,,https://www.digikey.com.au/en/products/detail/yageo/MFR-25FTE52-4K7/9140246,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-4K7,
1,47K Ω,,,https://au.mouser.com/ProductDetail/603-MFR-25FRF52-470K,
1,1K Ω,,,https://au.mouser.com/ProductDetail/603-MFR-25FTE52-1K,
1,100 Ω,,,https://au.mouser.com/ProductDetail/603-MF0207FTE52-100R,
